Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length,Update Field
33,01779796,36,NY,New York,122049078273,19256833049,84578,372,46866,1118,97722,903,100146,706,58643,467,61528,662,63315,3511,94665,1222,54522,11827,58747,1109,78026,1569,95712,442,64615,822,7668956,12766,804180,5993,6864776,11898,10.5,0.0761717410346974,237188395099.395,3863594.03556328,Yes
34,01027616,37,NC,North Carolina,125935880061,13453540851,69904,346,41769,706,77423,681,83318,753,51439,415,50191,613,45538,1690,113412,3312,77958,8527,56223,1516,66171,1807,78132,449,60149,1083,4186924,10494,426156,5696,3760768,10429,10.2,0.133629338212249,194686619018.869,4987549.9146132,Yes
35,01779797,38,ND,North Dakota,178694342677,4414747947,75949,1002,42600,3346,87075,2042,94643,2026,54965,1594,46973,7128,42968,3326,61610,7327,27269,15574,50839,9516,62883,5290,80088,1221,60671,6554,325079,1663,46645,1420,278434,1790,14.3,0.430605224471669,400343193091.691,3125333.99786197,Yes
36,01085497,39,OH,Ohio,105823831336,10274524796,69680,287,40634,776,78756,519,84899,609,51608,281,42433,550,44355,4167,98223,3809,30703,26757,52944,1948,59372,1373,74887,300,57218,1110,4829571,8204,453624,5514,4375947,9375,9.4,0.113051272865281,183937530616.414,2333282.87906242,Yes
37,01102857,40,OK,Oklahoma,177664484361,3373395450,63603,419,38294,1179,70936,621,74731,833,52191,510,44139,908,56941,1178,73499,3941,57545,21413,54680,1580,57402,1005,68544,560,55533,1056,1542780,3468,174153,2896,1368627,4054,11.3,0.185990121133721,274419502278.031,3307542.38670877,Yes
38,01155107,41,OR,Oregon,248630419895,6168960338,80426,573,44772,1294,91890,1013,95456,1087,59956,743,58243,3701,64446,3787,104963,3270,87801,16853,70465,2483,74352,2576,81823,571,70858,1547,1701548,3556,216496,3861,1485052,3953,12.7,0.22534766266035,485183870825.559,3298513.58394474,Yes
39,01779798,42,PA,Pennsylvania,115881839569,3397855215,76081,310,42188,687,87985,617,93356,663,53582,367,48025,748,57714,7837,99204,2407,48587,10117,49761,1346,68444,1538,81531,329,58929,1230,5235339,9438,484898,5725,4750441,10768,9.3,0.10807073966902,205470554203.031,2103733.4705482,Yes
40,01219835,44,RI,Rhode Island,2677763372,1323686976,86372,1274,48239,5162,92918,1578,105071,2456,59716,1650,63513,3708,63750,40843,103547,14080,,,56011,4667,67425,4827,93558,1380,58403,2959,436902,1822,42865,2134,394037,2711,9.8,0.486722373369826,5104944078.13281,773602.574892911,Yes
41,01779799,45,SC,South Carolina,77866000436,5074443652,66818,504,38327,1944,74105,958,78325,942,52271,570,45198,717,47140,3880,94834,7308,58432,37361,53555,2467,62052,2420,77267,617,58117,2184,2070390,5976,197125,4136,1873265,6302,9.5,0.197869766488985,117320209893.281,1957829.68672007,Yes
42,01785534,46,SD,South Dakota,196341525171,3387709166,72421,805,41629,2104,81411,1246,88440,1838,53671,1185,58717,2528,35326,2314,70171,8717,34087,658,59318,8210,68581,6240,75708,960,59776,4080,358552,1643,55211,1508,303341,2184,15.4,0.414619445526601,391981093836.813,2962958.55644857,Yes
43,01325873,47,TN,Tennessee,106792311478,2322248149,67097,360,42016,889,74843,736,79712,734,50265,492,49163,733,57839,4310,97808,5642,63235,17330,58118,2263,63127,1711,71897,404,61180,1825,2768743,7134,312860,5539,2455883,7243,11.3,0.197924703782045,166421258689.004,2629507.24708391,Yes
44,01779801,48,TX,Texas,676686238592,18982083586,76292,265,41078,677,82249,486,91649,521,55974,371,57839,558,70901,2543,112060,1528,72214,8244,59407,752,65998,653,91958,382,63015,384,10747240,15647,1323920,9844,9423320,16846,12.3,0.0898225757487237,950488305160.24,8778463.82955625,Yes
45,01455989,49,UT,Utah,213921849163,5963196691,91750,634,53047,1564,97590,952,114782,1513,67356,1024,63374,3812,64207,4421,97129,5023,78097,6417,72396,3208,85525,2470,95494,623,76686,1729,1094896,2787,142489,2763,952407,3492,13,0.250169048591394,368286055427.055,2557182.52685235,Yes
46,01779802,50,VT,Vermont,23872589127,1030648383,78024,1357,43628,3271,93311,2084,93037,2354,57236,1310,50683,10385,50595,15292,77634,9569,46827,26482,69955,13510,83028,5693,78394,1305,86172,12390,269466,1559,41615,1272,227851,1839,15.4,0.463511623480772,48270070120.7656,1281030.41068139,Yes
47,01779803,51,VA,Virginia,102258163252,8528087616,90974,485,46934,1165,98631,897,112425,995,64957,565,63016,830,79955,8683,131518,1884,90820,13072,76497,2300,95883,1912,97655,531,87687,2025,3326260,8075,341580,4223,2984680,7908,10.3,0.124487692105088,166968015968.016,4131814.74086076,Yes
48,01779804,53,WA,Washington,172118778986,12548923076,94952,476,54782,1373,107195,843,115438,854,65404,588,69308,1639,67525,2549,133554,2264,87539,6317,70946,1676,85868,1276,96834,454,75533,1233,3020558,5770,337155,4135,2683403,6178,11.2,0.135224522182392,382618640274.141,6314134.36163377,Yes
49,01779805,54,WV,West Virginia,62266499712,489003081,57917,607,32481,1996,68704,1236,68993,1641,45248,720,40422,3359,34643,18310,80294,16296,135156,128764,54805,6938,49350,2872,58569,606,64657,7071,721448,2890,47067,1808,674381,3344,6.5,0.249240734680419,103045995156.977,2614069.1639855,Yes
50,01779806,55,WI,Wisconsin,140292627460,29343084365,75670,402,43435,1105,86719,905,92539,876,55271,459,41317,995,54916,3095,88269,2917,82705,22465,58493,2198,67007,1532,79296,421,61868,1749,2446028,5477,237783,2934,2208245,5629,9.7,0.117958008487778,287303455183.941,3721409.59484714,Yes
51,01779807,56,WY,Wyoming,251458162746,1868053273,74815,1225,39401,2927,87117,1762,89736,2736,57153,1500,40750,17900,55094,11739,65260,21803,38080,12987,71833,6422,69226,2563,76304,1123,63542,4692,238176,1220,30525,1338,207651,1601,12.8,0.557920506967583,474197554810.355,2777133.83381284,Yes
52,01779808,72,PR,Puerto Rico,8869031577,4922247037,25096,232,11151,1704,28798,544,30258,444,20859,269,24576,761,26027,4370,30368,9360,,,23385,434,26249,459,39581,4960,25003,227,1239243,5156,126807,2287,1112436,4905,10.2,0.179570275565742,10062700130.167,777497.636774988,Yes
